
/start data
{'msec': 20.000000, 'rpm': -0.000000, 'set_rpm': 3600.000000},
{'msec': 30.000000, 'rpm': -0.000000, 'set_rpm': 3600.000000},
{'msec': 40.000000, 'rpm': -0.000000, 'set_rpm': 3600.000000},
{'msec': 50.000000, 'rpm': -0.000000, 'set_rpm': 3600.000000},
{'msec': 60.000000, 'rpm': 60.000000, 'set_rpm': 3600.000000},
{'msec': 70.000000, 'rpm': 60.000000, 'set_rpm': 3600.000000},
{'msec': 80.000000, 'rpm': 60.000000, 'set_rpm': 3600.000000},
{'msec': 90.000000, 'rpm': 114.000000, 'set_rpm': 3600.000000},
{'msec': 100.000000, 'rpm': 109.199997, 'set_rpm': 3600.000000},
{'msec': 110.000000, 'rpm': 109.199997, 'set_rpm': 3600.000000},
{'msec': 120.000000, 'rpm': 96.000000, 'set_rpm': 3600.000000},
{'msec': 130.000000, 'rpm': 128.399994, 'set_rpm': 3600.000000},
{'msec': 140.000000, 'rpm': 121.199997, 'set_rpm': 3600.000000},
{'msec': 150.000000, 'rpm': 175.199997, 'set_rpm': 3600.000000},
{'msec': 160.000000, 'rpm': 208.800003, 'set_rpm': 3600.000000},
{'msec': 170.000000, 'rpm': 246.000000, 'set_rpm': 3600.000000},
{'msec': 180.000000, 'rpm': 279.600006, 'set_rpm': 3600.000000},
{'msec': 190.000000, 'rpm': 319.200012, 'set_rpm': 3600.000000},
{'msec': 200.000000, 'rpm': 354.000000, 'set_rpm': 3600.000000},
{'msec': 210.000000, 'rpm': 364.799988, 'set_rpm': 3600.000000},
{'msec': 220.000000, 'rpm': 396.000000, 'set_rpm': 3600.000000},
{'msec': 230.000000, 'rpm': 433.200012, 'set_rpm': 3600.000000},
{'msec': 240.000000, 'rpm': 458.399994, 'set_rpm': 3600.000000},
{'msec': 250.000000, 'rpm': 481.200012, 'set_rpm': 3600.000000},
{'msec': 260.000000, 'rpm': 513.599976, 'set_rpm': 3600.000000},
{'msec': 270.000000, 'rpm': 549.599976, 'set_rpm': 3600.000000},
{'msec': 280.000000, 'rpm': 582.000000, 'set_rpm': 3600.000000},
